source,target,weight
https://openalex.org/A5032490352,https://openalex.org/A5018032283,1
https://openalex.org/A5032490352,https://openalex.org/A5031443698,1
https://openalex.org/A5032490352,https://openalex.org/A5047342242,1
https://openalex.org/A5032490352,https://openalex.org/A5056938795,1
https://openalex.org/A5032490352,https://openalex.org/A5087135694,1
https://openalex.org/A5032490352,https://openalex.org/A5105180298,1
https://openalex.org/A5032490352,https://openalex.org/A5105451553,1
https://openalex.org/A5032490352,https://openalex.org/A5105638963,1
https://openalex.org/A5032490352,https://openalex.org/A5107831423,1
https://openalex.org/A5032490352,https://openalex.org/A5107834619,1
https://openalex.org/A5032490352,https://openalex.org/A5107856740,1
https://openalex.org/A5032490352,https://openalex.org/A5107923201,1
https://openalex.org/A5032490352,https://openalex.org/A5108166900,1
https://openalex.org/A5032490352,https://openalex.org/A5112361276,1
https://openalex.org/A5032490352,https://openalex.org/A5112403211,1
https://openalex.org/A5032490352,https://openalex.org/A5113977323,1
https://openalex.org/A5009808442,https://openalex.org/A5001457664,2
https://openalex.org/A5009808442,https://openalex.org/A5011791725,2
https://openalex.org/A5009808442,https://openalex.org/A5015113096,2
https://openalex.org/A5009808442,https://openalex.org/A5020734888,2
https://openalex.org/A5009808442,https://openalex.org/A5026517227,2
https://openalex.org/A5009808442,https://openalex.org/A5038123737,2
https://openalex.org/A5009808442,https://openalex.org/A5049270979,2
https://openalex.org/A5009808442,https://openalex.org/A5056367688,2
https://openalex.org/A5009808442,https://openalex.org/A5072532781,2
https://openalex.org/A5009808442,https://openalex.org/A5073764726,2
https://openalex.org/A5071224458,https://openalex.org/A5003748863,1
https://openalex.org/A5071224458,https://openalex.org/A5010037898,1
https://openalex.org/A5071224458,https://openalex.org/A5021036251,1
https://openalex.org/A5071224458,https://openalex.org/A5028785788,1
https://openalex.org/A5071224458,https://openalex.org/A5045345947,1
https://openalex.org/A5071224458,https://openalex.org/A5063421849,1
https://openalex.org/A5071224458,https://openalex.org/A5069882980,1
https://openalex.org/A5071224458,https://openalex.org/A5070433412,1
https://openalex.org/A5071224458,https://openalex.org/A5077273376,1
https://openalex.org/A5071224458,https://openalex.org/A5102428443,1
https://openalex.org/A5050772514,https://openalex.org/A5004314505,1
https://openalex.org/A5050772514,https://openalex.org/A5020218652,1
https://openalex.org/A5050772514,https://openalex.org/A5021025671,1
https://openalex.org/A5050772514,https://openalex.org/A5021371191,1
https://openalex.org/A5050772514,https://openalex.org/A5026565466,1
https://openalex.org/A5050772514,https://openalex.org/A5030231487,1
https://openalex.org/A5050772514,https://openalex.org/A5033098879,1
https://openalex.org/A5050772514,https://openalex.org/A5055561790,1
https://openalex.org/A5050772514,https://openalex.org/A5070252158,1
https://openalex.org/A5050772514,https://openalex.org/A5073416357,1
https://openalex.org/A5050772514,https://openalex.org/A5079232768,1
https://openalex.org/A5050772514,https://openalex.org/A5086154618,1
https://openalex.org/A5050772514,https://openalex.org/A5091338305,1
https://openalex.org/A5033098879,https://openalex.org/A5004314505,1
https://openalex.org/A5033098879,https://openalex.org/A5020218652,1
https://openalex.org/A5033098879,https://openalex.org/A5021025671,2
https://openalex.org/A5033098879,https://openalex.org/A5021371191,1
https://openalex.org/A5033098879,https://openalex.org/A5026565466,2
https://openalex.org/A5033098879,https://openalex.org/A5030231487,2
https://openalex.org/A5033098879,https://openalex.org/A5055561790,1
https://openalex.org/A5033098879,https://openalex.org/A5070252158,1
https://openalex.org/A5033098879,https://openalex.org/A5073416357,1
https://openalex.org/A5033098879,https://openalex.org/A5079232768,2
https://openalex.org/A5033098879,https://openalex.org/A5086154618,1
https://openalex.org/A5033098879,https://openalex.org/A5091338305,1
https://openalex.org/A5102428443,https://openalex.org/A5003748863,1
https://openalex.org/A5102428443,https://openalex.org/A5010037898,1
https://openalex.org/A5102428443,https://openalex.org/A5021036251,1
https://openalex.org/A5102428443,https://openalex.org/A5028785788,1
https://openalex.org/A5102428443,https://openalex.org/A5045345947,1
https://openalex.org/A5102428443,https://openalex.org/A5063421849,1
https://openalex.org/A5102428443,https://openalex.org/A5069882980,1
https://openalex.org/A5102428443,https://openalex.org/A5070433412,1
https://openalex.org/A5102428443,https://openalex.org/A5077273376,1
https://openalex.org/A5033911261,https://openalex.org/A5005019504,1
https://openalex.org/A5033911261,https://openalex.org/A5069074260,1
https://openalex.org/A5033911261,https://openalex.org/A5079452567,1
https://openalex.org/A5033911261,https://openalex.org/A5090659943,2
https://openalex.org/A5032583584,https://openalex.org/A5015191967,3
https://openalex.org/A5032583584,https://openalex.org/A5069074260,1
https://openalex.org/A5032583584,https://openalex.org/A5079452567,2
https://openalex.org/A5032583584,https://openalex.org/A5090659943,3
