inst_source,inst_target,total_colabs,num_pares
"National Institute of Astrophysics, Optics and Electronics",Universidad Nacional Autónoma de México,229,154
Universidad Michoacana de San Nicolás de Hidalgo,Universidad Nacional Autónoma de México,151,121
Universidad Nacional Autónoma de México,Universidad Politécnica de Pachuca,148,103
"Secretaría de Investigación, Innovación y Educación Superior",Universidad Nacional Autónoma de México,148,62
El Colegio de la Frontera Sur,Universidad Nacional Autónoma de México,122,65
Universidad Nacional Autónoma de México,Universidad de Guadalajara,119,87
Universidad Autónoma de Chiapas,Universidad Nacional Autónoma de México,116,81
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,Universidad Nacional Autónoma de México,81,65
Benemérita Universidad Autónoma de Puebla,Universidad Nacional Autónoma de México,79,48
Universidad Autónoma del Estado de Hidalgo,Universidad Nacional Autónoma de México,77,47
Centro Internacional de Mejoramiento de Maíz Y Trigo,Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,58,54
Instituto Politécnico Nacional,Universidad Nacional Autónoma de México,56,39
El Colegio de la Frontera Sur,"Secretaría de Investigación, Innovación y Educación Superior",53,23
"National Institute of Astrophysics, Optics and Electronics",Universidad Politécnica de Pachuca,48,33
"National Institute of Astrophysics, Optics and Electronics",Universidad Michoacana de San Nicolás de Hidalgo,48,38
"National Institute of Astrophysics, Optics and Electronics",Universidad de Guadalajara,37,27
"National Institute of Astrophysics, Optics and Electronics",Universidad Autónoma de Chiapas,36,26
Universidad Michoacana de San Nicolás de Hidalgo,Universidad Politécnica de Pachuca,32,26
Centro de Investigación Científica y de Educación Superior de Ensenada,Universidad Nacional Autónoma de México,31,31
Mexican Social Security Institute,National Institute of Genomic Medicine,30,30
Tecnológico Nacional de México,Universidad Nacional Autónoma de México,30,30
Instituto de Ecología,Universidad Nacional Autónoma de México,28,27
"Universidad Autónoma de Zacatecas ""Francisco García Salinas""",Universidad Nacional Autónoma de México,27,26
Universidad Autónoma de Chiapas,Universidad Michoacana de San Nicolás de Hidalgo,26,22
Benemérita Universidad Autónoma de Puebla,"National Institute of Astrophysics, Optics and Electronics",24,14
Universidad Autónoma Metropolitana,Universidad Nacional Autónoma de México,24,23
Universidad Autónoma de Chiapas,Universidad Politécnica de Pachuca,24,18
Universidad Michoacana de San Nicolás de Hidalgo,Universidad de Guadalajara,24,20
Universidad Politécnica de Pachuca,Universidad de Guadalajara,24,18
"National Institute of Astrophysics, Optics and Electronics",Universidad Autónoma del Estado de Hidalgo,24,14
Instituto Nacional de Perinatología,Instituto Politécnico Nacional,23,19
Autonomous University of Aguascalientes,Universidad Autónoma de Nuevo León,22,22
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,Instituto Politécnico Nacional,21,13
