anio,inst_tipo,publicaciones,citas_promedio
2018,company,3,290.75
2018,education,287,226.632183908046
2018,facility,98,267.51801801801804
2018,funder,12,173.07692307692307
2018,government,56,249.6689655172414
2018,healthcare,21,447.6666666666667
2018,nonprofit,25,210.78947368421052
2018,other,2,143.5
2019,company,1,1469.0
2019,education,337,239.5581098339719
2019,facility,118,305.2739726027397
2019,funder,10,167.35714285714286
2019,government,46,310.56164383561645
2019,healthcare,23,376.68
2019,nonprofit,29,271.4492753623188
2019,other,6,245.9090909090909
2020,archive,1,263.0
2020,company,2,164.21428571428572
2020,education,332,265.3695906432749
2020,facility,116,311.172268907563
2020,funder,4,196.75
2020,government,59,302.5945945945946
2020,healthcare,28,275.1694915254237
2020,nonprofit,23,270.5
2020,other,5,428.4166666666667
2021,education,205,225.44064386317908
2021,facility,89,240.5561797752809
2021,funder,5,157.54545454545453
2021,government,34,310.3333333333333
2021,healthcare,17,287.37142857142857
2021,nonprofit,16,179.6216216216216
2021,other,1,283.0
2022,education,97,227.57407407407408
2022,facility,42,346.55172413793105
2022,funder,3,309.5
2022,government,26,369.1333333333333
2022,healthcare,11,193.08695652173913
2022,nonprofit,6,309.05
2022,other,2,175.0
2023,company,1,330.0
2023,education,73,243.2987804878049
2023,facility,26,350.51612903225805
2023,government,10,161.36363636363637
2023,healthcare,14,428.2352941176471
2023,nonprofit,1,165.0
2024,education,20,250.27777777777777
2024,facility,12,283.57894736842104
2024,funder,1,130.0
2024,government,5,200.0909090909091
2024,healthcare,4,167.8
2024,other,2,171.25
