autor_id,nombre,articulos,citas_total,inst_principal
https://openalex.org/A5000003902,Laura Torrecillas,1,150,Institute for Social Security and Services for State Workers
https://openalex.org/A5000046805,Clarysabel Tovar,1,132,Centro Internacional de Mejoramiento de Maíz Y Trigo
https://openalex.org/A5000086052,Carlos Fragoso,1,470,Instituto de Ecología
https://openalex.org/A5000173305,Alexander Pommer-Alba,1,136,Instituto Nacional de Cardiología
https://openalex.org/A5000182215,David A. Velázquez-Ramírez,1,415,Universidad Nacional Autónoma de México
https://openalex.org/A5000185036,Alejandro Rodríguez-Molina,1,248,Tecnológico Nacional de México
https://openalex.org/A5000190706,Patricia Borja-Bustamante,1,164,Mexican Social Security Institute
https://openalex.org/A5000220140,Ever Arturo Corral Herrera,1,468,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán
https://openalex.org/A5000222973,Guillermo M. Chans,1,158,Tecnológico de Monterrey
https://openalex.org/A5000228808,I. L. De Icaza Astiz,1,154,Universidad Nacional Autónoma de México
https://openalex.org/A5000278378,Karina Jácome-López,1,291,Universidad Nacional Autónoma de México
https://openalex.org/A5000325687,T. Karageorgas,1,490,Instituto Nacional de Enfermedades Respiratorias
https://openalex.org/A5000346312,Noé Arjona,1,131,Center of Research and Technologic Development in Electrochemistry
https://openalex.org/A5000349944,Gabriel Aguirre‐Álvarez,1,127,Universidad Autónoma del Estado de Hidalgo
https://openalex.org/A5000406917,Víctor Hugo Borja‐Aburto,1,164,Mexican Social Security Institute
https://openalex.org/A5000425592,Rodrigo Sandoval‐Almazán,2,367,Universidad Autónoma del Estado de México
https://openalex.org/A5000448921,Aurora Robledo-Cabrera,1,123,Autonomous University of San Luis Potosí
https://openalex.org/A5000458971,Matthew Reynolds,9,2035,Centro Internacional de Mejoramiento de Maíz Y Trigo
https://openalex.org/A5000506517,Erik Cuevas,4,1070,Universidad de Guadalajara
https://openalex.org/A5000540912,Adrian Heinritz,1,124,Center of Research and Technologic Development in Electrochemistry
https://openalex.org/A5000562096,María Teresa Jiménez‐Munguía,2,372,Universidad de las Américas Puebla
https://openalex.org/A5000565002,José Benito Montes-Alvarado,1,185,Mexican Social Security Institute
https://openalex.org/A5000669673,Ernesto Magaña-López,1,183,Autonomous University of Queretaro
https://openalex.org/A5000669914,Asunción Lago‐Lestón,1,133,Center for Scientific Research and Higher Education at Ensenada
https://openalex.org/A5000750744,Cesar D. Nieto-Rufino,1,203,Hospital General Dr. Manuel Gea Gonzalez
https://openalex.org/A5000849073,Ernesto Muñoz,3,3703,Universidad de Guadalajara
https://openalex.org/A5000904160,Marcelo Canteiro,1,143,Universidad Nacional Autónoma de México
https://openalex.org/A5000914397,E.J. Vernon‐Carter,2,429,Universidad Autónoma Metropolitana
https://openalex.org/A5000929496,Julio C. Villalobos,1,122,Instituto Tecnológico de Morelia
https://openalex.org/A5000935301,Lourdes Siqueiros‐Márquez,1,159,Universidad Nacional Autónoma de México
https://openalex.org/A5001027249,Jürgen Floege,1,376,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán
https://openalex.org/A5001039974,Kate Dreher,1,248,Centro Internacional de Mejoramiento de Maíz Y Trigo
https://openalex.org/A5001070736,Alejandro Casas,1,177,Universidad Nacional Autónoma de México
https://openalex.org/A5001182420,Aldo Moreno‐Ulloa,1,677,Centro de Investigación Científica y de Educación Superior de Ensenada
https://openalex.org/A5001201662,José Luis Cabellos,1,183,Universidad de Sonora
https://openalex.org/A5001206815,Alcione García-González,1,167,Universidad Autónoma de Nuevo León
https://openalex.org/A5001239153,Zahirid Patricia Garcia-Arce,1,169,Tecnológico de Monterrey
https://openalex.org/A5001292367,David Romero-Fierro,1,138,Universidad Nacional Autónoma de México
https://openalex.org/A5001307432,Emanuel Martínez-Ugalde,1,134,Universidad Nacional Autónoma de México
https://openalex.org/A5001318317,Anastazia T. Banaszak,2,388,Universidad Nacional Autónoma de México
https://openalex.org/A5001384115,Valeria Cavalli,1,224,Regenerative Medicine Institute
https://openalex.org/A5001401315,María Boa,1,196,Centro Internacional de Mejoramiento de Maíz Y Trigo
https://openalex.org/A5001457664,Víctor A. Sosa‐Hernández,2,910,Instituto Politécnico Nacional
https://openalex.org/A5001514418,Carmen Clapp,1,159,Universidad Nacional Autónoma de México
https://openalex.org/A5001562050,Virginia F. Borges,1,208,Tecnológico de Monterrey
https://openalex.org/A5001582155,Ana C. Lorenzo‐Leal,1,226,Universidad de las Américas Puebla
https://openalex.org/A5001612572,Adriana Flores‐López,2,327,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán
https://openalex.org/A5001616500,Michel F. Martínez‐Reséndez,1,171,Tecnológico de Monterrey
https://openalex.org/A5001633793,Santiago Nava,2,709,Instituto Nacional de Cardiología
https://openalex.org/A5001643379,Marco A. Mata‐Gómez,1,125,Tecnológico de Monterrey
https://openalex.org/A5001644255,J. F. Hernández-Sánchez,1,140,Universidad Nacional Autónoma de México
https://openalex.org/A5001665629,Augusto Vázquez-Rodríguez,1,175,Universidad Autónoma de Nuevo León
https://openalex.org/A5001676543,Elizabeth González‐Estrada,1,180,Colegio de Postgraduados
https://openalex.org/A5001678229,Miguel Á. Álvarez‐Carmona,1,134,Centro de Investigación Científica y de Educación Superior de Ensenada
https://openalex.org/A5001709483,Paul Rosas-Santiago,1,144,Universidad Nacional Autónoma de México
https://openalex.org/A5001719858,Moisés Mercado,1,702,Centro Medico Nacional Siglo XXI
https://openalex.org/A5001731251,Audrey Mailliez,1,208,Tecnológico de Monterrey
https://openalex.org/A5001754506,Abhi Shelat,2,285,Universidad del Noreste
https://openalex.org/A5001770010,Victor Manuel Hernández-Guzmán,1,124,Autonomous University of Queretaro
https://openalex.org/A5001770817,Shunwu Fan,1,224,Regenerative Medicine Institute
https://openalex.org/A5001784673,Carlos Alberto Olvera-Olvera,1,247,"Universidad Autónoma de Zacatecas ""Francisco García Salinas"""
https://openalex.org/A5001791534,Sriraman Venkataraman,1,216,Universidad del Noreste
https://openalex.org/A5001847375,Héctor Ríos,1,241,Instituto Tecnólogico de La Laguna
https://openalex.org/A5001852620,Carlos Velasco‐Santos,1,248,Instituto Tecnológico de Querétaro
https://openalex.org/A5001871853,Thomas Stracensky,1,147,Universidad del Noreste
https://openalex.org/A5001893254,Loida E. Ramírez-Montes,1,346,Universidad de la Sierra Juárez
https://openalex.org/A5001943204,Ramón Íñiguez-Palomares,1,132,Universidad de Sonora
https://openalex.org/A5002002023,Clarisa Villegas Gómez,1,123,Universidad de Guanajuato
https://openalex.org/A5002006057,Max J. Schmulson,1,4176,Hospital General de México
https://openalex.org/A5002023670,María Guadalupe Morán-Aguilar,1,242,Tecnológico Nacional de México
https://openalex.org/A5002048450,Carlos J. Penafort-Asturiano,1,375,Universidad Panamericana
https://openalex.org/A5002068469,M. Salazar Villanueva,1,333,Benemérita Universidad Autónoma de Puebla
https://openalex.org/A5002140963,Hassan Soltan Hassan,1,156,Universidad Michoacana de San Nicolás de Hidalgo
https://openalex.org/A5002166603,Ulises Rosas,1,124,Universidad Nacional Autónoma de México
https://openalex.org/A5002170706,Nathan A. Pennell,1,165,Sanofi (Mexico)
https://openalex.org/A5002191087,Hugo Villamil‐Ramírez,3,1333,National Institute of Genomic Medicine
https://openalex.org/A5002197343,Daniel López‐Lima,1,250,Universidad Veracruzana
https://openalex.org/A5002203856,Bogart Yail Márquez,1,124,Instituto Tecnológico de Tijuana
https://openalex.org/A5002252238,Emilio J. Córdova,1,336,National Institute of Genomic Medicine
