inst_principal,num_investigadores,total_articulos,total_citas,promedio_citas
Universidad Nacional Autónoma de México,573,840,236501,412.7417102966841
Tecnológico de Monterrey,257,360,77848,302.91050583657585
Universidad del Noreste,155,183,44288,285.72903225806454
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,136,223,101519,746.4632352941177
Instituto Politécnico Nacional,115,151,49272,428.45217391304345
Centro Internacional de Mejoramiento de Maíz Y Trigo,93,186,43562,468.40860215053766
Universidad Autónoma de Nuevo León,80,107,23877,298.4625
Instituto Nacional de Salud Pública,75,131,46092,614.56
Regenerative Medicine Institute,74,82,17536,236.97297297297297
Universidad Autónoma de Baja California,70,89,17444,249.2
Universidad de Guadalajara,68,97,21484,315.94117647058823
Universidad de Sonora,52,56,14747,283.59615384615387
Autonomous University of Queretaro,48,52,10607,220.97916666666666
Mexican Social Security Institute,48,51,13988,291.4166666666667
Sanofi (Mexico),48,48,12064,251.33333333333334
Universidad de Guanajuato,47,54,12589,267.8510638297872
Universidad Autónoma de Coahuila,47,71,19327,411.21276595744683
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,47,69,14564,309.8723404255319
Institute of Ophthalmology,43,44,13661,317.69767441860466
Benemérita Universidad Autónoma de Puebla,42,55,11900,283.3333333333333
Universidad Autónoma del Estado de Hidalgo,41,48,7994,194.97560975609755
Tecnológico Nacional de México,41,52,16175,394.5121951219512
Autonomous University of San Luis Potosí,39,43,10583,271.35897435897436
Instituto Nacional de Cancerología,36,42,13758,382.1666666666667
National Institute of Genomic Medicine,36,53,19935,553.75
Instituto de Ecología,35,53,19549,558.5428571428571
Universidad Michoacana de San Nicolás de Hidalgo,34,44,9293,273.3235294117647
"National Institute of Astrophysics, Optics and Electronics",33,72,39616,1200.4848484848485
Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,33,35,7120,215.75757575757575
Universidad Autónoma Metropolitana,32,42,10386,324.5625
Center of Research and Technologic Development in Electrochemistry,31,36,7538,243.16129032258064
Instituto Nacional de Cardiología,28,40,14191,506.82142857142856
Instituto Nacional de Enfermedades Respiratorias,27,35,9120,337.77777777777777
Ibero American University,26,34,10861,417.7307692307692
Centro de Investigación en Alimentación y Desarrollo,26,33,8895,342.11538461538464
El Colegio de la Frontera Sur,25,49,16071,642.84
Autonomous University of Yucatán,24,26,4206,175.25
Secretaría de Salud de Jalisco,23,23,11291,490.9130434782609
Universidad de las Américas Puebla,23,31,5463,237.52173913043478
Universidad Autónoma del Estado de México,22,32,12009,545.8636363636364
Universidad Veracruzana,22,29,8298,377.1818181818182
Universidad de Colima,21,30,6124,291.6190476190476
Center for Research and Advanced Studies of the National Polytechnic Institute,20,22,4045,202.25
Universidad Juárez Autónoma de Tabasco,19,20,4527,238.26315789473685
"Universidad Autónoma de Zacatecas ""Francisco García Salinas""",19,24,4823,253.8421052631579
Centro de Investigación en Materiales Avanzados,18,21,4335,240.83333333333334
Hospital Civil de Guadalajara,18,23,5429,301.6111111111111
Hospital de Especialidades,17,18,5944,349.6470588235294
Universidad de Londres,17,20,6915,406.7647058823529
Hospital Médica Sur,17,30,9845,579.1176470588235
Centro de Investigación Científica y de Educación Superior de Ensenada,17,18,6194,364.3529411764706
Universidad Panamericana,17,22,5158,303.4117647058824
Instituto Nacional de Perinatología,16,18,4119,257.4375
Colegio de Postgraduados,16,19,5009,313.0625
Universidad Autónoma Agraria Antonio Narro,15,37,6896,459.73333333333335
Institute for Scientific and Technological Research,15,20,4209,280.6
Hospital General de México,14,20,16627,1187.642857142857
Instituto Tecnológico de Tijuana,14,34,5380,384.2857142857143
University of Monterrey,14,17,5382,384.42857142857144
Universidad de León,13,13,2574,198.0
Centro de Investigación y Proyectos en Ambiente y Desarrollo,13,14,4284,329.53846153846155
Universidad Internacional,13,13,2599,199.92307692307693
"Secretaría de Investigación, Innovación y Educación Superior",12,26,7590,632.5
Autonomous University of Aguascalientes,12,12,2389,199.08333333333334
Universidad Autónoma del Estado de Morelos,12,13,10228,852.3333333333334
